Resource,Project_1,Project_2,Project_3,Project_4,Project_5,Project_6,Project_7,Project_8,Project_9,Project_10,Project_11,Project_12,Project_13,Project_14,Project_15,Project_16,Project_17,Project_18,Project_19,Project_20,Project_21,Project_22,Project_23,Project_24,Project_25,Project_26,Project_27,Project_28,Project_29,Project_30,Project_31,Project_32,Project_33,Project_34,Project_35,Project_36,Project_37,Project_38,Project_39,Project_40,Project_41,Project_42,Project_43,Project_44,Project_45,Project_46,Project_47,Project_48,Project_49,Project_50,Project_51,Project_52,Project_53,Project_54,Project_55,Project_56,Project_57,Project_58,Project_59,Project_60,Project_61,Project_62,Project_63,Project_64,Project_65,Project_66,Project_67,Project_68,Project_69,Project_70,Project_71,Project_72,Project_73,Project_74,Project_75
Name_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285,,,,,,,,,,,,,,,,,,,
Name_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,578,,,,,,,,,179,,,,,,,,,,,,,,,,511,,,
Name_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,528",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,686",,,,,,,,,,,,,,,,,
Name_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,408",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_6,,,,,688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_7,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,,,,,,,,,,,,,,434,,,60,,,,
Name_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,295",,,,,,,,,,,,,,,,,
Name_9,,,,,"1,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_10,,,,,,,,,,,,,,,,,,,,,,272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,
Name_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,396",,,,,,,,,,,,,32,,,,,,
Name_12,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,585,,,,2,,,28,,,,,,1,,,,,,,,,,,
Name_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,808",184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_14,,,,,,,,,,,,,,,,,,31,,,,,,,,,,61,230,,,,,,,,,,,,,,510,351,,,,,,49,,,,,,,,,,,,,,,,,,,,,,,,,
Name_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,"1,017",241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,501,,,,21,,,,,10,,,,,,,,,,,,,,,,520,,,
Name_17,,,2,3,,,2,,,,,,,7,,,,,8,,,,,,82,,,,,,,,,,,,,,,,,,,,,,,171,,,2,,17,11,4,32,,,15,302,,,,3,,,4,,,15,2,17,,,
Name_18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,"1,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,5,,,,,,,,,
Name_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name_21,,,,,,,,,,,,,,,,,,,,,,137,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,14,51,,,,,,,,,,,10,1,,
