,var,rel.inf,,,
BENE_TRM_BFOR,BENE_TRM_BFOR,17.60008341,,,
BIO_BEFORE_NO_BIO,BIO_BEFORE_NO_BIO,17.42403076,,,
RATE_INCR_PRE,RATE_INCR_PRE,13.95980279,,,
BIO_BEFORE_5_COMPOUND,BIO_BEFORE_5_COMPOUND,11.67769619,,,
ORIG_DBA_BFOR,ORIG_DBA_BFOR,9.64812617,,,
BIO_AFTER_NO_BIO,BIO_AFTER_NO_BIO,8.253133057,,,
ANNL_PREM_AFTR,ANNL_PREM_AFTR,4.045768307,,,
ORIG_DBA_AFTR,ORIG_DBA_AFTR,3.546963997,,,
RATE_INCR,RATE_INCR,3.060929931,,,
BENE_TRM_AFTR,BENE_TRM_AFTR,1.685650286,,,
BIO_AFTER_SIMPLE,BIO_AFTER_SIMPLE,1.482058564,,,
RESPONSE_PRE,RESPONSE_PRE,1.438249346,,,
BIO_AFTER_5_COMPOUND,BIO_AFTER_5_COMPOUND,1.104496799,,,
ANNL_PREM_BFOR,ANNL_PREM_BFOR,0.574527693,,,
TOTL_COMMUNICATED_INCR_RATE,TOTL_COMMUNICATED_INCR_RATE,0.573285312,,,
RATE_INCR_MA,RATE_INCR_MA,0.387322828,,,
IFA_GROUP_STATE_PROD_FAWP,IFA_GROUP_STATE_PROD_FAWP,0.254591616,,,
STATE_MI,STATE_MI,0.200306398,,,
BIO_BEFORE_5_SIMPLE,BIO_BEFORE_5_SIMPLE,0.182828877,,,
RATE_INCR_AFFORD,RATE_INCR_AFFORD,0.172402534,,,
BENEFIT_POOL_ASSET_RATIO,BENEFIT_POOL_ASSET_RATIO,0.138668933,,,
STATE_CT,STATE_CT,0.136105534,,,
STATE_PARTNERSHIP,STATE_PARTNERSHIP,0.129741887,,,
IFA_GROUP_STATE_PROD_OTFA,IFA_GROUP_STATE_PROD_OTFA,0.128149156,,,
FREQ_BFOR_Q,FREQ_BFOR_Q,0.092041559,,,
DECISION_STAGE,DECISION_STAGE,0.090835052,,,
CNT_RBO_PREV1,CNT_RBO_PREV1,0.078666928,,,
STATE_CO,STATE_CO,0.04611269,,,
ZAGG_SSON,ZAGG_SSON,0.035092098,,,
CNT_FPO_PREV1,CNT_FPO_PREV1,0.033849104,,,
PREM_PAID_TOT_2,PREM_PAID_TOT_2,0.02931715,,,
NUM_DECISIONS,NUM_DECISIONS,0.028752888,,,
HH_RETAILCREDIT_NEW,HH_RETAILCREDIT_NEW,0.025199602,,,
HIGHCRD_BANKCARDCREDIT_NEW,HIGHCRD_BANKCARDCREDIT_NEW,0.024469671,,,
PRCNT_AUTOLEASEMATURATION,PRCNT_AUTOLEASEMATURATION,0.023992718,,,
ZAGG_AMAC,ZAGG_AMAC,0.021610936,,,
ZAGG_IOMA,ZAGG_IOMA,0.021517768,,,
ZAGG_AGJOINT,ZAGG_AGJOINT,0.019883918,,,
ZAGG_PRTY_D,ZAGG_PRTY_D,0.018884253,,,
ZAGG_IDRE,ZAGG_IDRE,0.018138175,,,
POLICY_AGE_2,POLICY_AGE_2,0.017600278,,,
ZAGG_PHANDICP,ZAGG_PHANDICP,0.017400876,,,
ZAGG_IDAC,ZAGG_IDAC,0.016975208,,,
ZAGG_PBLADDER,ZAGG_PBLADDER,0.016797423,,,
BINARY_DRUG_RAWSCR,BINARY_DRUG_RAWSCR,0.016100374,,,
OAPLUS,OAPLUS,0.016011476,,,
ZAGG_IHORSE,ZAGG_IHORSE,0.015374832,,,
ZAGG_IPCLUB,ZAGG_IPCLUB,0.015299577,,,
ZAGG_AIRCRAFT,ZAGG_AIRCRAFT,0.014815938,,,
ZAGG_SGDI,ZAGG_SGDI,0.014664721,,,
MINMOB_AUTOFINANCE,MINMOB_AUTOFINANCE,0.014268941,,,
ZAGG_ISSKATE,ZAGG_ISSKATE,0.01409245,,,
MINMOB_NONMTGCREDIT,MINMOB_NONMTGCREDIT,0.013747508,,,
ZAGG_RELECTNC,ZAGG_RELECTNC,0.013643421,,,
BAL_BANKCARDCREDIT_NEW,BAL_BANKCARDCREDIT_NEW,0.013321793,,,
SPENDPAT,SPENDPAT,0.013006669,,,
ZAGG_ZINCDEC_4,ZAGG_ZINCDEC_4,0.012964398,,,
ZAGG_APT_T,ZAGG_APT_T,0.012789631,,,
HH_MTG_COLLECTIONS,HH_MTG_COLLECTIONS,0.012632344,,,
HH_HOMEEQUITYLOANS_NEW,HH_HOMEEQUITYLOANS_NEW,0.012323918,,,
ZAGG_HOMSTAT_Y,ZAGG_HOMSTAT_Y,0.012278033,,,
ZAGG_ESTDII30_7,ZAGG_ESTDII30_7,0.012234429,,,
ZAGG_ABCK,ZAGG_ABCK,0.012216487,,,
ZAGG_RACHILD,ZAGG_RACHILD,0.012049537,,,
ZAGG_PINSOMNA,ZAGG_PINSOMNA,0.011979514,,,
NUM_RETAILCREDIT,NUM_RETAILCREDIT,0.011899719,,,
NUM_OTHERNONMTG,NUM_OTHERNONMTG,0.011797927,,,
INQUIRY_MTG,INQUIRY_MTG,0.011786385,,,
BINARY_NO_RAWSCR,BINARY_NO_RAWSCR,0.01177586,,,
SEV_AC_RAWSCR,SEV_AC_RAWSCR,0.011762323,,,
ZAGG_RSPORTS,ZAGG_RSPORTS,0.011686714,,,
ZAGG_IRST,ZAGG_IRST,0.01163856,,,
ZAGG_IHDIY,ZAGG_IHDIY,0.011120925,,,
ZAGG_BTOTLORD,ZAGG_BTOTLORD,0.010877226,,,
HIGHCRD_HELOC,HIGHCRD_HELOC,0.010765176,,,
BINARY_DIAB_TRANS,BINARY_DIAB_TRANS,0.010639394,,,
BAVGOFDL,BAVGOFDL,0.010631045,,,
NUM_AUTOFINANCE,NUM_AUTOFINANCE,0.010454015,,,
ZAGG_ESTINC30_500,ZAGG_ESTINC30_500,0.010327531,,,
ZAGG_AART,ZAGG_AART,0.009958827,,,
ZAGG_NOC19_1,ZAGG_NOC19_1,0.009918892,,,
SEV_NM_TRANS,SEV_NM_TRANS,0.009869171,,,
ZAGG_INLI,ZAGG_INLI,0.009809075,,,
ZAGG_IHGO,ZAGG_IHGO,0.009764386,,,
ZAGG_PSINUSIT,ZAGG_PSINUSIT,0.009749628,,,
BAL_STUDENTLOAN,BAL_STUDENTLOAN,0.009704489,,,
BAL_HOMEEQUITYLOANS_60DPD,BAL_HOMEEQUITYLOANS_60DPD,0.009574445,,,
SEV_CARDIO_RAWSCR,SEV_CARDIO_RAWSCR,0.009532951,,,
ZAGG_PTRIAL,ZAGG_PTRIAL,0.009368346,,,
ZAGG_AGFOOT,ZAGG_AGFOOT,0.009341816,,,
ZAGG_PALLERG,ZAGG_PALLERG,0.00930893,,,
BAL_NONMTGCREDIT_NEW,BAL_NONMTGCREDIT_NEW,0.009308738,,,
ZAGG_PGASTRIT,ZAGG_PGASTRIT,0.00929582,,,
C210POO,C210POO,0.009240026,,,
ZAGG_C210WHT,ZAGG_C210WHT,0.009223873,,,
ZAGG_IRHMGRDN,ZAGG_IRHMGRDN,0.009216067,,,
ZAGG_IONURSE,ZAGG_IONURSE,0.009058163,,,
ZAGG_NETW30_0312,ZAGG_NETW30_0312,0.009036647,,,
ZAGG_AACN,ZAGG_AACN,0.008933353,,,
BAL_HELOAN_SEVEREDEROG,BAL_HELOAN_SEVEREDEROG,0.008742207,,,
ZAGG_TUOC_D,ZAGG_TUOC_D,0.008725282,,,
ZAGG_IDOT,ZAGG_IDOT,0.008608502,,,
ZAGG_BPAMEXY,ZAGG_BPAMEXY,0.008541031,,,
MEDSUP,MEDSUP,0.00853178,,,
ZAGG_BPVISA,ZAGG_BPVISA,0.008451458,,,
ZAGG_RFURNITR,ZAGG_RFURNITR,0.008411406,,,
BAL_TOTALALLCREDIT_NEW,BAL_TOTALALLCREDIT_NEW,0.008368417,,,
PDPE,PDPE,0.008363992,,,
ZAGG_ATV,ZAGG_ATV,0.008349074,,,
