"team","WIN_1","WIN_2","WIN_3","WIN_4","WIN_5","WIN_6","WIN_7","WIN_8","WIN_9","WIN_10","WIN_11","WIN_12","points_1","points_2","points_3","points_4","points_5","points_6","points_7","points_8","points_9","points_10","points_11","points_12","opp_points_1","opp_points_2","opp_points_3","opp_points_4","opp_points_5","opp_points_6","opp_points_7","opp_points_8","opp_points_9","opp_points_10","opp_points_11","opp_points_12","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","WIN_1.smooth","WIN_2.smooth","WIN_3.smooth","WIN_4.smooth","WIN_5.smooth","WIN_6.smooth","WIN_7.smooth","WIN_8.smooth","WIN_9.smooth","WIN_10.smooth","WIN_11.smooth","WIN_12.smooth","points_1.smooth","points_2.smooth","points_3.smooth","points_4.smooth","points_5.smooth","points_6.smooth","points_7.smooth","points_8.smooth","points_9.smooth","points_10.smooth","points_11.smooth","points_12.smooth","opp_points_1.smooth","opp_points_2.smooth","opp_points_3.smooth","opp_points_4.smooth","opp_points_5.smooth","opp_points_6.smooth","opp_points_7.smooth","opp_points_8.smooth","opp_points_9.smooth","opp_points_10.smooth","opp_points_11.smooth","opp_points_12.smooth","rank_1.smooth","rank_2.smooth","rank_3.smooth","rank_4.smooth","rank_5.smooth","rank_6.smooth","rank_7.smooth","rank_8.smooth","rank_9.smooth","rank_10.smooth","rank_11.smooth","rank_12.smooth","cluster","Is_Representative"
"AIR",1,1,0,0,1,0,1,1,1,1,1,0,63,37,21,11,31,23,42,58,20,35,37,35,7,16,35,33,17,38,14,7,3,28,30,47,50,50,50,50,50,50,50,50,50,50,50,50,0.9,0.7,0.1,0.2,0.8,0.3,1,1,1,0.9,0.7,0,53.6,31.2,20,16.2,30.5,30.3,43,48.1,24.7,35.4,32.9,24.5,11.6,21.5,32.8,30.3,20.9,30.1,11.5,8.3,10.7,30.3,30.4,32.9,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"AKRON",0,0,1,1,0,1,0,0,1,1,1,1,3,7,52,35,12,47,10,6,17,37,42,20,41,24,9,14,14,21,59,14,13,28,21,0,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.3,0.9,0.8,0.2,0.7,0.1,0.3,1,1,0.9,0.7,8.7,18.8,44.6,31.6,18.8,35.5,9.9,11.3,23.5,36.3,33.4,14,34.4,20,10.5,14.7,19.9,27.9,45.4,15.2,16.8,23.8,14.7,0,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"AKST",0,0,1,0,1,1,1,1,1,1,1,1,6,20,70,7,49,49,37,48,40,59,52,55,55,27,7,37,35,31,27,34,27,21,28,17,50,50,50,50,50,50,50,50,50,50,50,50,0.1,0.2,0.8,0.3,1,1,1,1,1,1,0.9,0.7,15.2,28.7,55.3,19.6,47.8,46.5,39.5,47.5,45,57.2,47.4,38.5,44.6,24,15.8,36,33.4,30.5,28.4,31.3,25.9,22,23,11.9,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"ALA",1,1,0,1,1,1,1,1,1,1,1,1,35,37,37,34,38,27,41,19,30,31,56,29,17,10,43,0,10,14,23,14,16,6,6,13,3,2,2,12,13,8,10,8,7,3,3,2,0.9,0.8,0.3,1,1,1,1,1,1,1,0.9,0.7,35.6,36.7,36.5,34.1,36.1,29,35.5,22.4,32.8,35.8,45,20.3,18.2,15.6,31.1,3.4,12.1,15.8,20.5,13.6,13,6.7,6.8,9.1,2.7,3,5.1,11.8,11.7,8.4,9.3,7.3,5.8,2.9,2.5,1.4,3,FALSE
"APP",1,0,1,1,1,1,1,1,0,1,1,1,49,10,49,31,37,59,31,44,27,47,28,34,0,41,0,13,3,14,13,41,40,20,7,27,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.3,1,1,1,1,0.9,0.8,0.3,1,0.9,0.7,41.2,19.9,44.2,35,40.8,51.9,33.2,40.9,31.1,41.9,26.4,23.8,8.2,30,2.9,11.1,6.2,16.5,21.3,38.7,32.7,18.1,10.3,18.9,50,50,50,50,50,50,50,50,50,50,45,35,1,FALSE
"ARK",1,0,0,0,1,0,1,1,1,1,0,1,48,12,24,21,24,14,54,63,53,31,50,28,13,16,35,28,20,27,46,28,52,14,51,3,18,18,50,50,50,50,50,50,50,50,50,50,0.7,0,0.1,0.2,0.8,0.3,1,1,0.9,0.8,0.2,0.7,38.4,15.3,23.4,20.9,25,26.9,55.7,57.8,48.3,34.5,40.6,19.6,15.8,21,32.1,26.3,24,30.9,43,31.4,44.3,20.3,36.3,2.1,21.2,27.6,50,50,50,50,50,50,50,50,45,35,1,FALSE
"ARMY",0,0,0,1,0,0,1,0,0,0,0,0,35,17,14,58,14,3,21,31,3,31,21,17,37,22,17,36,20,44,14,38,20,34,31,21,50,50,50,50,50,50,50,50,50,50,50,50,0,0.1,0.2,0.7,0.1,0.2,0.7,0,0,0,0,0,29.3,20.5,22.8,43.7,12.5,9.4,21.2,25.4,10.4,27.6,18.1,11.9,32,22.4,21.1,33.6,24.2,37.4,19.4,34,23.9,32.1,25.9,14.7,50,50,50,50,50,50,50,50,50,50,45,35,2,FALSE
"ARZ",1,1,1,0,0,1,1,0,0,0,1,0,42,44,77,30,17,44,38,42,3,30,37,37,32,20,13,56,55,7,31,45,49,38,30,52,22,22,20,16,50,50,50,50,50,50,50,50,1,0.9,0.7,0.1,0.3,0.9,0.7,0,0.1,0.2,0.7,0,45.9,49.2,61.6,28.8,24.5,42.6,35.3,33,11.8,32.1,33.3,25.9,27.7,22.2,25.8,50.9,43,15.6,35.6,45.1,44.9,37.8,31.4,36.4,21.8,21,22.2,26.2,50,50,50,50,50,50,45,35,4,FALSE
"AUB",1,1,0,0,1,1,0,0,1,0,1,0,31,27,21,9,35,30,46,19,26,13,56,13,24,20,45,17,21,27,54,27,10,20,34,29,6,6,18,50,50,50,50,50,50,50,50,50,0.9,0.7,0.1,0.3,0.9,0.7,0.1,0.2,0.8,0.2,0.7,0,29.2,24,20,16.3,35.1,32.1,38.6,19.8,26.4,21.6,41.8,9.1,25.3,24.7,37,18.8,25.5,32.4,44.2,22.9,14.4,23.7,29.6,20.3,7.2,12.8,27.6,50,50,50,50,50,50,50,45,35,2,FALSE
"AZST",0,1,1,0,1,1,0,0,0,1,1,0,17,35,34,14,38,48,18,55,24,27,52,46,38,21,10,42,23,23,34,61,38,17,37,48,15,50,50,50,50,50,50,50,50,50,50,50,0.3,0.9,0.8,0.3,0.9,0.7,0,0.1,0.3,0.9,0.7,0,22.3,32.7,30.4,22.2,38,42.7,26,46,27.4,33.9,45.6,32.2,31.8,20.9,17.7,36.3,24.1,29,39.8,52,33.7,24.1,35.5,33.6,25.5,50,50,50,50,50,50,50,50,50,45,35,5,FALSE
"BALL",1,0,1,0,0,0,0,0,1,0,0,0,48,23,28,19,10,41,19,21,20,7,31,10,36,56,17,24,24,59,31,23,10,54,48,48,50,50,50,50,50,50,50,50,50,50,50,50,0.8,0.2,0.7,0,0,0,0.1,0.2,0.7,0,0,0,41,23.6,24.4,19.4,17.1,34.6,19.5,19.4,18.5,12.1,23.7,7,38.1,45,19.1,27.5,31.7,49.8,27.3,23.5,22.6,52.2,43.2,33.6,50,50,50,50,50,50,50,50,50,50,45,35,4,FALSE
"BAY",1,1,1,1,1,1,1,1,0,1,0,0,56,66,70,63,66,62,45,31,34,45,21,17,21,31,17,35,7,38,27,24,44,35,28,23,4,4,5,5,3,2,2,2,4,10,7,12,1,1,1,1,1,1,0.9,0.8,0.2,0.7,0,0,59.4,66.5,68.2,63.5,63.1,55.5,41.1,33,34.9,37.4,18.1,11.9,22.6,28.6,19.6,29.7,15.2,34.4,28.1,29.1,40.6,32.4,24.2,16.1,4.1,4.3,4.8,4.3,2.7,2,2.2,3.2,5.5,9.6,7.3,8.4,3,FALSE
